File Name,Paper Title,Research Category / Keywords,Venue,In,Use,R,AF,Datasets,Link,Notes ,Column1
ABEL.pdf,ABEL: Sample Efficient Online Reinforcement Learning for Neural Theorem Proving,"Reinforcement learning, neural theorem proving, sample efficiency, MiniF2F, PutnamBench",NeurIPS 2024,75,75,50.00%,1,"MiniF2F, PutnamBench",,,
AI_Impact_on_Human_Proof_Flows.pdf,AI Impact on Human Proof Formalization Workflows,"Human proof formalization, AI impact, user study, Lean, interactive theorem proving",MATH-AI @ NeurIPS 2025,10,10,40.00%,0,,,,
AI4Math.pdf,Formal Mathematical Reasoning: A New Frontier in AI,"Formal mathematical reasoning, AI for Mathematics (AI4Math), theorem proving, autoformalization, proof assistants",AriXv,10,80,70.00%,0,,,using FM data to improve formal mathematical reasoning for LLMs,
AlphaGeometry.pdf,Solving olympiad geometry without human demonstrations,"Geometry theorem proving, neuro-symbolic, synthetic data generation, International Mathematical Olympiad (IMO)",Nature (google),10,80,90.00%,0,"MiniF2F, PutnamBench",,Training a language model on synthetic data,
AlphaProof.pdf,Olympiad-level formal mathematical reasoning with reinforcement learning,"Formal mathematical reasoning, reinforcement learning, Olympiad-level, AlphaProof agent",Nature (google),0,80,70.00%,0,"MiniF2F, PutnamBench, formal-IMO",,using FM data to improve formal mathematical reasoning for LLMs,
AlphaZero_Prover.pdf,Learning to Find Proofs and Theorems by Learning to Refine Search Strategies,"Automated theorem proving, AlphaZero-style, search strategies, loop invariant synthesis",NeurIPS 2022,60,100,90.00%,50,Code2In,,"Search for proofs, generate synthetic theorems, abd RL for theorm proving",
Aristotle.pdf,Aristotle: IMO-level Automated Theorem Proving,"Automated theorem proving, IMO-level, formal verification, informal reasoning, geometry solver",,0,50,50.00%,0,IMO,https://harmonic.fun/,"whole-proof, step-proof, hybrid search",
arxiv2Formal.pdf,A New Approach Towards Autoformalization,"Autoformalization, research-level mathematics, unlinked formalization, entity linking, Lean",,90,90,90.00%,100,arXiv2Formal,https://github.com/jlab-nlp/arxiv2formal,building a benchmark of formal proofs,
ATG.pdf,ATG: Benchmarking Automated Theorem Generation for Generative Language Models,"Automated theorem generation, benchmarking, Metamath, data augmentation",,50,60,70.00%,0,ATG,,"building a benchmark of formal proofs, research from Huawei and DarkMatter",
ATLAS.pdf,"ATLAS: Autoformalizing Theorems through Lifting, Augmentation, and Synthesis of Data","Autoformalization, theorem statements, data generation, Lean 4, expert iteration",NeurIPS 2025,100,100,100.00%,90,"ATLAS, MathQual , PutnamBench, ProofNet, MiniF2F",https://github.com/XiaoyangLiu-sjtu/ATLAS,,
Autoformalization_in_the_Wild.pdf,Autoformalization in the Wild: Assessing LLMs on Real-World Mathematical Definitions,"Autoformalization, real-world mathematical definitions, Isabelle/HOL, external feedback",,100,90,100.00%,90,"Def_Wiki, Def_ArXiv",https://github.com/lanzhang128/definition_autoformalization,"formalize to Isabelle/HOL, building dataset",
Autoformalization_Survey.pdf,Autoformalization in the Era of Large Language Models: A Survey,"Autoformalization, large language models, survey, mathematical theorem proving, formal verification",,100,100,100.00%,90,,,,
Autoformalization_with_LLM.pdf,Autoformalization with Large Language Models,"Autoformalization, large language models, formal specifications, Isabelle/HOL, mathematical competition problems",NeurIPS 2022,100,100,100.00%,90,"MiniF2F, MATH",,Formalization (NL-Lean) and Informalization (Isabelle-NL),
